Ensembl.ID,Gene
ENSG00000186487,MYT1L
ENSG00000138029,HADHB
ENSG00000213699,SLC35F6
ENSG00000152291,TGOLN2
ENSG00000119844,AFTPH
ENSG00000132623,ANKEF1
ENSG00000124243,BCAS4
ENSG00000160469,Brsk1
ENSG00000172893,DHCR7
ENSG00000014216,CAPN1
ENSG00000077616,NAALAD2
ENSG00000154114,TBCEL
ENSG00000182985,Cadm1
ENSG00000106772,PRUNE2
ENSG00000148356,LRSAM1
ENSG00000119383,PTPA
ENSG00000076555,ACACB
ENSG00000128342,LIF
ENSG00000158270,COLEC12
ENSG00000104731,KLHDC4
ENSG00000065427,Kars
ENSG00000168872,DDX19A
ENSG00000168676,KCTD19
ENSG00000153404,PLEKHG4
ENSG00000159398,CES5A
ENSG00000179919,OR10A7
ENSG00000146233,CYP39A1
ENSG00000073067,Cyp2w1
ENSG00000142319,SLC6A3
ENSG00000039560,RAI14
ENSG00000204764,RANBP17
ENSG00000169220,RGS14
ENSG00000145681,HAPLN1
ENSG00000122012,Sv2c
ENSG00000145734,BDP1
ENSG00000146005,PSD2
ENSG00000152700,SAR1B
ENSG00000053108,FSTL4
ENSG00000177879,AP3S1
ENSG00000141456,PELP1
ENSG00000184988,TMEM106A
ENSG00000224383,PRR29
ENSG00000069188,SDK2
ENSG00000142611,PRDM16
ENSG00000116198,CEP104
ENSG00000162551,ALPL
ENSG00000090686,USP48
ENSG00000158161,EYA3
ENSG00000006555,TTC22
ENSG00000149547,EI24
ENSG00000117543,DPH5
ENSG00000159409,CELF3
ENSG00000147601,TERF1
ENSG00000086232,EIF2AK1
ENSG00000175267,VWA3A
ENSG00000023697,DERA
ENSG00000110888,CAPRIN2
ENSG00000025423,HSD17B6
ENSG00000151572,ANO4
ENSG00000111727,HCFC2
ENSG00000134900,TPP2
ENSG00000169994,MYO7B
ENSG00000150551,LYPD1
ENSG00000138448,ITGAV
ENSG00000144410,CPO
ENSG00000173166,RAPH1
ENSG00000116120,FARSB
ENSG00000013374,NUB1
ENSG00000276557,TRBV18
ENSG00000110427,KIAA1549
ENSG00000004948,CALCR
ENSG00000188730,VWC2
ENSG00000158683,PKD1L1
ENSG00000136279,DBNL
ENSG00000163346,PBXIP1
ENSG00000176444,CLK2
ENSG00000116141,MARK1
ENSG00000196369,SRGAP2B
ENSG00000163531,Nfasc
ENSG00000152104,PTPN14
ENSG00000198734,F5
ENSG00000162851,TFB2M
ENSG00000119979,FAM45A
ENSG00000148824,MTG1
ENSG00000109339,Mapk10
ENSG00000198010,Dlgap2
ENSG00000048342,CC2D2A
ENSG00000167202,TBC1D2B
ENSG00000064726,BTBD1
ENSG00000074603,DPP8
ENSG00000137871,ZNF280D
ENSG00000140284,SLC27A2
ENSG00000100485,SOS2
ENSG00000100504,PYGL
ENSG00000133962,CATSPERB
ENSG00000183036,PCP4
ENSG00000196549,MME
ENSG00000114113,RBP2
ENSG00000051382,PIK3CB
ENSG00000206562,METTL6
ENSG00000092345,Dazl
ENSG00000123146,CD97
ENSG00000005206,SPPL2B
ENSG00000064961,HMG20B
ENSG00000182087,TMEM259
